paper_slug,title,year,venue,doi,source,citation_count,priority_score,themes,landing_page
2024-trajectory-optimization-to-enhance-observability-for-bearing-only-target-localization-and-s,Trajectory Optimization to Enhance Observability for Bearing-Only Target Localization and Sensor Bias Calibration,2024,Biomimetics,10.3390/biomimetics9090510,openalex,2,33.416,active_sensing_and_path_planning;geometry_and_observability;robustness_and_bias,https://doi.org/10.3390/biomimetics9090510
2024-uav-geo-localization-for-navigation-a-survey,UAV Geo-Localization for Navigation: A Survey,2024,IEEE Access,10.1109/access.2024.3455096,openalex,8,31.931,survey_and_scope,https://doi.org/10.1109/access.2024.3455096
2024-adaptive-bearing-only-target-localization-and-circumnavigation-under-unknown-wind-disturban,Adaptive Bearing-Only Target Localization and Circumnavigation Under Unknown Wind Disturbance: Theory and Experiments,2024,IEEE Robotics and Automation Letters,10.1109/lra.2024.3487483,openalex,7,30.754,bearing_only_core,https://doi.org/10.1109/lra.2024.3487483
2024-a-distributed-factor-graph-model-solving-method-for-cooperative-localization-of-uav-swarms,A distributed factor graph model solving method for cooperative localization of UAV swarms,2024,Measurement Science and Technology,10.1088/1361-6501/ad91d6,openalex,7,30.754,factor_graph_and_graph_optimization,https://doi.org/10.1088/1361-6501/ad91d6
2024-composite-disturbance-filtering-for-onboard-uwb-based-relative-localization-of-tiny-uavs-in,Composite Disturbance Filtering for Onboard UWB-Based Relative Localization of Tiny UAVs in Unknown Confined Spaces,2024,IEEE Transactions on Automation Science and Engineering,10.1109/tase.2024.3412068,openalex,5,29.834,cooperative_and_distributed,https://doi.org/10.1109/tase.2024.3412068
2024-bearing-only-multi-target-localization-incorporating-waveguide-characteristics-for-low-dete,Bearing-Only Multi-Target Localization Incorporating Waveguide Characteristics for Low Detection Rate Scenarios in Shallow Water,2024,Journal of Marine Science and Engineering,10.3390/jmse12122300,openalex,2,28.416,bearing_only_core,https://doi.org/10.3390/jmse12122300
2024-research-on-passive-localization-in-circular-formation-flight-of-uavs-with-simulated-anneal,Research on Passive Localization in Circular Formation Flight of UAVs with Simulated Annealing Optimization Based on Triangulation and Greedy Strategy,2024,,10.1109/iccect60629.2024.10545760,openalex,2,27.616,passive_uav_systems,https://doi.org/10.1109/iccect60629.2024.10545760
2024-research-on-purely-azimuth-passive-localization-model-for-uav-formation-flight,Research on Purely Azimuth Passive Localization Model for UAV Formation Flight,2024,Journal of Physics Conference Series,10.1088/1742-6596/2861/1/012001,openalex,1,27.118,passive_uav_systems,https://doi.org/10.1088/1742-6596/2861/1/012001
2024-a-comparative-study-of-imm-kalman-filters-and-neural-computing-for-underwater-bearing-only-,A Comparative Study of IMM Kalman Filters and Neural Computing for Underwater Bearing Only Target Motion Analysis,2024,,10.1109/ibcast61650.2024.10877241,openalex,1,26.318,active_sensing_and_path_planning,https://doi.org/10.1109/ibcast61650.2024.10877241
2024-research-on-purely-azimuthal-passive-localization-and-adjustment-strategy-for-uavs-based-on,Research on Purely Azimuthal Passive Localization and Adjustment Strategy for UAVs Based on Multimodality,2024,,10.1109/iccect60629.2024.10546064,openalex,1,26.318,passive_uav_systems,https://doi.org/10.1109/iccect60629.2024.10546064
2024-recursive-and-nonrecursive-passive-target-localization-algorithms-with-bearing-only-measure,Recursive and Nonrecursive Passive Target Localization Algorithms with Bearing-Only Measurements,2024,,10.1109/icos63634.2024.10775434,openalex,0,24.1,bearing_only_core,https://doi.org/10.1109/icos63634.2024.10775434
2024-research-on-precise-localization-and-cooperative-control-of-uav-formation-flight-based-on-p,Research on Precise Localization and Cooperative Control of UAV Formation Flight Based on Passive Bearing-Only Localization,2024,,10.1109/iccasit62299.2024.10827960,openalex,0,24.1,passive_uav_systems,https://doi.org/10.1109/iccasit62299.2024.10827960
2024-research-on-passive-localization-techniques-for-uav-formations-based-on-the-law-of-sines,Research on Passive Localization Techniques for UAV Formations Based on the Law of Sines,2024,,10.1109/iciscae62304.2024.10761126,openalex,0,24.1,passive_uav_systems,https://doi.org/10.1109/iciscae62304.2024.10761126
2024-research-on-uav-formation-localization-based-on-pure-bearing-passive-localization-model-and,Research on UAV Formation Localization Based on Pure Bearing Passive Localization Model and Gradient Descent Algorithm,2024,,10.1145/3701100.3701139,openalex,0,24.1,passive_uav_systems,https://doi.org/10.1145/3701100.3701139
2024-purely-azimuthal-uav-passive-localization-based-on-a-triangular-model,Purely Azimuthal UAV Passive Localization Based on a Triangular Model,2024,,10.1109/cisce62493.2024.10653170,openalex,0,24.1,passive_uav_systems,http://dx.doi.org/10.1109/cisce62493.2024.10653170
2024-a-revisit-to-d-criterion-based-sensor-trajectory-planning-in-bearing-only-target-motion-ana,A Revisit to D-Criterion-Based Sensor Trajectory Planning in Bearing-Only Target Motion Analysis,2024,IEEE Sensors Journal,10.1109/jsen.2024.3510378,openalex,0,24.1,active_sensing_and_path_planning,https://doi.org/10.1109/jsen.2024.3510378
2023-bearing-only-motion-analysis-of-target-based-on-low-quality-bearing-time-recordings-map,Bearing‐only motion analysis of target based on low‐quality bearing‐time recordings map,2023,IET Radar Sonar & Navigation,10.1049/rsn2.12519,openalex,4,27.25,active_sensing_and_path_planning,https://doi.org/10.1049/rsn2.12519
2022-uav-localization-algorithm-based-on-factor-graph-optimization-in-complex-scenes,UAV Localization Algorithm Based on Factor Graph Optimization in Complex Scenes,2022,Sensors,10.3390/s22155862,openalex,18,28.722,factor_graph_and_graph_optimization,https://doi.org/10.3390/s22155862
2022-trajectory-optimization-for-target-localization-and-sensor-bias-calibration-with-bearing-on,Trajectory Optimization for Target Localization and Sensor Bias Calibration with Bearing-Only Information,2022,Guidance Navigation and Control,10.1142/s2737480722500157,openalex,7,27.654,active_sensing_and_path_planning;robustness_and_bias,https://doi.org/10.1142/s2737480722500157
2020-tightly-coupled-integrated-navigation-system-via-factor-graph-for-uav-indoor-localization,Tightly coupled integrated navigation system via factor graph for UAV indoor localization,2020,Aerospace Science and Technology,10.1016/j.ast.2020.106370,openalex,75,27.558,factor_graph_and_graph_optimization,https://doi.org/10.1016/j.ast.2020.106370
2020-uwb-based-localization-for-multi-uav-systems-and-collaborative-heterogeneous-multi-robot-sy,UWB-Based Localization for Multi-UAV Systems and Collaborative Heterogeneous Multi-Robot Systems: a Survey,2020,arXiv (Cornell University),10.48550/arxiv.2004.08174,openalex,5,19.434,survey_and_scope,http://arxiv.org/abs/2004.08174
2019-trajectory-optimization-for-target-localization-with-bearing-only-measurement,Trajectory Optimization for Target Localization With Bearing-Only Measurement,2019,IEEE Transactions on Robotics,10.1109/tro.2019.2896436,openalex,99,25.637,active_sensing_and_path_planning,https://doi.org/10.1109/tro.2019.2896436
